"VOTED2014","Young.Hispanic.Status","ID.Number","Voter.Status","Voted.11.2012","Voted.Gen..Elec..09.2010","Voted.Gen..Elec..07.2008","Number.General.Elections","Hispanic.Surname","Young.Voter","Eligible.2012","Eligible.2010","Eligible.2008","Young.in.2012","Young.in.2010","Young.in.2008","Voter.Category","type","ID","control","post","flyer","LOWPROP","city","zip","U_S__CONGRESS","byear"
"39",0,"non_y_h",5461,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",5461,0,1,0,1,"CARROLLTON",75007,24,1937
"51",0,"non_y_h",6832,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",6832,0,1,0,1,"CARROLLTON",75006,24,1911
"217",0,"non_y_non_h",16298,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",16298,0,1,0,1,"GARLAND",75042,32,1922
"313",1,"non_y_h",20802,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",20802,0,1,0,1,"GARLAND",75040,32,1938
"370",0,"non_y_non_h",23641,"A",0,1,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",23641,0,1,0,1,"GARLAND",75041,32,1911
"374",0,"non_y_non_h",23821,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",23821,0,1,0,1,"GARLAND",75041,32,1927
"406",0,"non_y_non_h",25164,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",25164,0,1,0,1,"GARLAND",75043,32,1926
"432",0,"non_y_non_h",27016,"A",0,1,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",27016,0,1,0,1,"GARLAND",75040,32,1928
"450",1,"non_y_non_h",28260,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",28260,0,1,0,1,"GARLAND",75040,32,1944
"455",0,"non_y_non_h",28523,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",28523,0,1,0,1,"GARLAND",75040,32,1931
"465",0,"non_y_non_h",28929,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",28929,0,1,0,1,"GARLAND",75044,32,1941
"487",1,"non_y_h",31178,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",31178,0,1,0,1,"GARLAND",75041,32,1911
"531",0,"non_y_non_h",34400,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",34400,0,1,0,1,"GARLAND",75041,32,1911
"539",0,"non_y_non_h",35136,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",35136,0,1,0,1,"RICHARDSON",75081,32,1936
"546",1,"non_y_non_h",36004,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",36004,0,1,0,1,"MESQUITE",75149,5,1939
"605",0,"non_y_non_h",40437,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",40437,0,1,0,1,"GARLAND",75043,32,1938
"615",0,"non_y_non_h",40970,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",40970,0,1,0,1,"GARLAND",75043,32,1911
"779",0,"non_y_h",55715,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",55715,0,1,0,1,"GRAND PRAIRIE",75050,33,1944
"861",0,"non_y_non_h",61902,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",61902,0,1,0,1,"GRAND PRAIRIE",75051,33,1954
"871",0,"non_y_non_h",63126,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",63126,0,1,0,1,"GRAND PRAIRIE",75051,33,1909
"884",0,"non_y_non_h",64268,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",64268,0,1,0,1,"GRAND PRAIRIE",75051,33,1927
"911",0,"non_y_h",65383,"A",0,1,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",65383,0,1,0,1,"GRAND PRAIRIE",75051,33,1941
"917",0,"non_y_h",65647,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",65647,0,1,0,1,"GRAND PRAIRIE",75051,33,1941
"961",0,"non_y_non_h",68106,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",68106,0,1,0,1,"GRAND PRAIRIE",75051,33,1944
"998",1,"non_y_non_h",71170,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",71170,0,1,0,1,"IRVING",75062,24,1933
"1017",0,"non_y_non_h",72069,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",72069,0,1,0,1,"IRVING",75062,24,1934
"1096",0,"non_y_non_h",77937,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",77937,0,1,0,1,"IRVING",75061,24,1940
"1109",0,"non_y_non_h",78746,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",78746,0,1,0,1,"IRVING",75062,24,1928
"1132",0,"non_y_non_h",80167,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",80167,0,1,0,1,"IRVING",75060,33,1926
"1163",0,"non_y_non_h",81882,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",81882,0,1,0,1,"IRVING",75060,33,1928
"1331",0,"non_y_non_h",95930,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",95930,0,1,0,1,"IRVING",75060,33,1952
"1358",0,"non_y_non_h",97692,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",97692,0,1,0,1,"IRVING",75061,33,1930
"1385",0,"non_y_non_h",100996,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",100996,0,1,0,1,"IRVING",75062,24,1911
"1452",0,"non_y_h",105264,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",105264,0,1,0,1,"IRVING",75062,24,1911
"1514",0,"non_y_non_h",112391,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",112391,0,1,0,1,"RICHARDSON",75080,32,1926
"1534",0,"non_y_non_h",113853,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",113853,0,1,0,1,"DALLAS",75243,32,1931
"1563",0,"non_y_non_h",116073,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",116073,0,1,0,1,"RICHARDSON",75080,32,1911
"1565",0,"non_y_non_h",116381,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",116381,0,1,0,1,"RICHARDSON",75081,32,1921
"1592",0,"non_y_non_h",118367,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",118367,0,1,0,1,"RICHARDSON",75082,32,1934
"1624",0,"non_y_non_h",121028,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",121028,0,1,0,1,"RICHARDSON",75080,32,1923
"1626",0,"non_y_non_h",121267,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",121267,0,1,0,1,"RICHARDSON",75080,32,1923
"1639",0,"non_y_non_h",121782,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",121782,0,1,0,1,"RICHARDSON",75080,32,1945
"1748",0,"non_y_non_h",133301,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",133301,0,1,0,1,"RICHARDSON",75081,32,1922
"1773",0,"non_y_non_h",135467,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",135467,0,1,0,1,"ROWLETT",75089,32,1955
"1802",0,"non_y_non_h",137453,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",137453,0,1,0,1,"CEDAR HILL",75104,30,1911
"1832",0,"non_y_non_h",139791,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",139791,0,1,0,1,"DESOTO",75115,30,1936
"1864",0,"non_y_h",142354,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",142354,0,1,0,1,"DESOTO",75115,30,1935
"1865",0,"non_y_h",142355,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",142355,0,1,0,1,"DESOTO",75115,30,1911
"1889",0,"non_y_non_h",143819,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",143819,0,1,0,1,"DESOTO",75115,30,1932
"1900",1,"non_y_non_h",144572,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",144572,0,1,0,1,"DUNCANVILLE",75116,30,1934
"1911",0,"non_y_non_h",146094,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",146094,0,1,0,1,"DUNCANVILLE",75116,30,1938
"1931",0,"non_y_non_h",147624,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",147624,0,1,0,1,"DUNCANVILLE",75116,30,1944
"2027",0,"non_y_non_h",154242,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",154242,0,1,0,1,"LANCASTER",75134,30,1911
"2030",0,"non_y_non_h",154252,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",154252,0,1,0,1,"LANCASTER",75134,30,1911
"2066",0,"non_y_non_h",157140,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",157140,0,1,0,1,"LANCASTER",75146,30,1937
"2191",0,"non_y_non_h",164022,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",164022,0,1,0,1,"MESQUITE",75150,5,1911
"2207",0,"non_y_non_h",164708,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",164708,0,1,0,1,"MESQUITE",75150,5,1911
"2222",0,"non_y_non_h",165484,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",165484,0,1,0,1,"MESQUITE",75150,5,1928
"2236",0,"non_y_non_h",165917,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",165917,0,1,0,1,"MESQUITE",75150,5,1932
"2264",0,"non_y_non_h",167263,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",167263,0,1,0,1,"MESQUITE",75181,5,1950
"2310",0,"non_y_non_h",169234,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",169234,0,1,0,1,"MESQUITE",75150,5,1938
"2318",0,"non_y_non_h",169592,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",169592,0,1,0,1,"MESQUITE",75150,32,1937
"2373",0,"non_y_non_h",172565,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",172565,0,1,0,1,"MESQUITE",75149,5,1911
"2438",0,"non_y_non_h",175444,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",175444,0,1,0,1,"MESQUITE",75149,5,1937
"2500",0,"non_y_h",177675,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",177675,0,1,0,1,"MESQUITE",75149,5,1939
"2504",0,"non_y_non_h",177822,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",177822,0,1,0,1,"MESQUITE",75149,5,1922
"2513",0,"non_y_non_h",178541,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",178541,0,1,0,1,"MESQUITE",75149,5,1911
"2516",0,"non_y_non_h",178703,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",178703,0,1,0,1,"MESQUITE",75149,5,1932
"2541",0,"non_y_non_h",180165,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",180165,0,1,0,1,"BALCH SPRINGS",75180,5,1927
"2545",0,"non_y_non_h",180258,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",180258,0,1,0,1,"BALCH SPRINGS",75180,5,1911
"2571",0,"non_y_non_h",181625,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",181625,0,1,0,1,"BALCH SPRINGS",75180,5,1947
"2584",0,"non_y_h",181945,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",181945,0,1,0,1,"BALCH SPRINGS",75180,5,1933
"2644",1,"non_y_non_h",187259,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",187259,0,1,0,1,"SEAGOVILLE",75159,5,1929
"2659",0,"non_y_h",188031,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",188031,0,1,0,1,"WILMER",75172,30,1911
"2669",0,"non_y_h",188635,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",188635,0,1,0,1,"WILMER",75172,30,1935
"2684",0,"non_y_non_h",191042,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",191042,0,1,0,1,"DALLAS",75203,30,1911
"2755",0,"non_y_non_h",194495,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",194495,0,1,0,1,"DALLAS",75203,30,1919
"2765",0,"non_y_non_h",195394,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",195394,0,1,0,1,"DALLAS",75211,33,1948
"2772",0,"non_y_h",195491,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",195491,0,1,0,1,"DALLAS",75203,33,1926
"2863",0,"non_y_non_h",216538,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",216538,0,1,0,1,"DALLAS",75209,32,1928
"2893",0,"non_y_non_h",220642,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",220642,0,1,0,1,"DALLAS",75206,32,1929
"2931",0,"non_y_non_h",228844,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",228844,0,1,0,1,"MESQUITE",75150,32,1949
"2937",0,"non_y_h",229851,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",229851,0,1,0,1,"DALLAS",75206,32,1917
"2959",0,"non_y_non_h",233089,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",233089,0,1,0,1,"DALLAS",75208,30,1911
"2981",0,"non_y_h",235310,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",235310,0,1,0,1,"DALLAS",75232,30,1945
"2982",0,"non_y_h",235733,"A",0,1,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",235733,0,1,0,1,"DALLAS",75208,33,1923
"2995",0,"non_y_non_h",237278,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",237278,0,1,0,1,"DALLAS",75211,33,1954
"3003",0,"non_y_h",237938,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",237938,0,1,0,1,"DALLAS",75208,33,1918
"3083",0,"non_y_non_h",246407,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",246407,0,1,0,1,"DALLAS",75209,30,1927
"3085",0,"non_y_non_h",246426,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",246426,0,1,0,1,"DALLAS",75209,30,1911
"3130",0,"non_y_non_h",250639,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",250639,0,1,0,1,"DALLAS",75209,32,1936
"3165",0,"non_y_non_h",253040,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",253040,0,1,0,1,"DALLAS",75217,30,1908
"3212",0,"non_y_non_h",256400,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",256400,0,1,0,1,"DALLAS",75210,30,1911
"3216",0,"non_y_non_h",256980,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",256980,0,1,0,1,"DALLAS",75216,33,1911
"3245",0,"non_y_non_h",258526,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",258526,0,1,0,1,"DALLAS",75211,33,1922
"3271",1,"non_y_h",261121,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",261121,0,1,0,1,"DALLAS",75249,30,1947
"3281",0,"non_y_non_h",261914,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",261914,0,1,0,1,"DALLAS",75211,33,1919
"3310",0,"non_y_h",263292,"A",0,1,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",263292,0,1,0,1,"GRAND PRAIRIE",75052,30,1943
"3339",0,"non_y_h",265396,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",265396,0,1,0,1,"DALLAS",75211,33,1931
"3360",0,"non_y_non_h",266787,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",266787,0,1,0,1,"DESOTO",75115,30,1924
"3366",0,"non_y_h",267117,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",267117,0,1,0,1,"DALLAS",75211,33,1922
"3376",0,"non_y_h",267732,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",267732,0,1,0,1,"DALLAS",75211,33,1920
"3400",0,"non_y_h",270353,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",270353,0,1,0,1,"DALLAS",75211,33,1911
"3401",0,"non_y_non_h",270449,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",270449,0,1,0,1,"DALLAS",75211,33,1937
"3403",0,"non_y_h",270570,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",270570,0,1,0,1,"DESOTO",75115,30,1911
"3487",0,"non_y_h",274735,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",274735,0,1,0,1,"DALLAS",75212,33,1957
"3488",0,"non_y_h",274736,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",274736,0,1,0,1,"DALLAS",75212,33,1924
"3534",0,"non_y_h",275203,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",275203,0,1,0,1,"DALLAS",75212,33,1911
